Input.word1,Answer.word1,Input.word2,Answer.word2,Input.word3,Answer.word3,Input.word4,Answer.word4,Input.word5,Answer.word5
Lawn,"grass, garden, territory",Maybe,"possibility, perhaps",Society,"civilization, culture, humanity",Exact,"precise, correct, accurate",Lonely,"feeling alone, lost, alone, friendless"
Lawn,"A lawn is an area of aesthetic and recreational land planted with grasses or other durable plants, which usually are maintained at a low and consistent height. Low ornamental meadows in natural landscaping styles are a contemporary option of a lawn. In recreational contexts, the specialised names turf, pitch, field or green may be used, depending on the sport and the continent.",Maybe,"Maybe may refer to:
Music

Maybe, a song written in 1926 by George and Ira Gershwin, from the musical Oh, Kay!
""Maybe"" (1935 song), a 1935 song by Allan Flynn and Frank Madden, performed by The Ink Spots, Dinah Shore and others
Maybe (The Chantels), a song first recorded by The Chantels, covered by Janis Joplin and The Shangri-Las
Maybe (Split Enz song), a 1975 song by Split Enz
Maybe (Toni Braxton song), a 2001 single by Toni Braxton
Maybe (Emma Bunton song), a 2003 single by Emma Bunton
Maybe (N*E*R*D song), a 2004 single by N*E*R*D
Maybe (Kelly Clarkson song), a 2007 song by Kelly Clarkson
Maybe (No Angels song), a 2007 single by No Angels
Maybe, a 2007 single by Opshop
Maybe (Jay Sean song), a 2008 single by Jay Sean
Maybe (Enrique Iglesias song), a single by Enrique Iglesias
Maybe, a song by Thom Pace
Maybe, a song from the musical Annie
Maybe (Ingrid Michaelson song), a song by Ingrid Michaelson
Maybe, a song by the Wonderstuff, from Never Loved Elvis
""Maybe"" (Sick Puppies song), a 2010 single by Sick Puppies from the album Tri-Polar
Maybe, a song by Secondhand Serenade
Other

Mabey, the surname
Maybee, Michigan, a village in the United States of America
Maeby Fünke (pronounced ""Maybe""), a character in the television series Arrested Development",Society,"A society, or a human society, is a group of people related to each other through persistent relations, or a large social grouping sharing the same geographical or virtual territory, subject to the same political authority and dominant cultural expectations. Human societies are characterized by patterns of relationships (social relations) between individuals who share a distinctive culture and institutions; a given society may be described as the sum total of such relationships among its constituent members. In the social sciences, a larger society often evinces stratification and/or dominance patterns in subgroups.",Exact,"Definition:
 
1. correct: accurate and correct in all important details
an exact account

2. precise: precise and not allowing for any variation
a check for the exact amount

3. this and no other: used to emphasize that what is being referred to is one precise and often significant thing and not any other
on this exact spot

4. strict: rigorous and thorough
an exact argument

5. functioning accurately: characterized by precise measurements
exact instruments",Lonely,"Loneliness, the state of ""feeling lonely,"" describes a human state or feeling involving isolation, or the feeling of disconnection with others, etc. Often accompanied by a sense of yearning for connection. Usually manifests through hopes of romantic redemption in the arms of another. Lonely may also refer to:
""Lonely"", a 2006 single from Shannon Noll's second album Lift
""Lonely"", a 2005 single from Senegalese singer Akon's album Trouble.
""Lonely"", a 1998 single from Merril Bainbridge's second album Between the Days
""Lonely"", a 1997 single by Nana.
""Lonely"", a 2005 song from Líbido's studio album Lo Último que Hable Ayer
""Lonely"", a 2007 song from Bon Jovi's album Lost Highway
""Lonely"", a 2009 song from Foreigner's double album Can't Slow Down
""Lonely"", a 1988 song from Crimson Glory's album Transcendence
""Lonely"", a 1973 song from Tom Waits' debut album Closing Time
""Lonely"", a 1997 song by Peter Andre from his album Time
""Lonely (Amy's Theme)"", a 1967 song from Lovin' Spoonful's album You're a Big Boy Now
""Lonely"", a song written by Sharon Sheeley and performed by Eddie Cochran"
Lawn,"plot of grass, usually tended or mowed, as one around a residence or in a park or estate.",Maybe,"(a.) Possible; probable, but not sure.
(adv.) Perhaps; possibly; peradventure.
(n.) Possibility; uncertainty.",Society,". The totality of social relationships among humans.
b. A group of humans broadly distinguished from other groups by mutual interests, participation in characteristic relationships, shared institutions, and a common culture.
c. The institutions and culture of a distinct self-perpetuating group.
2. An organization or association of persons engaged in a common profession, activity, or interest: a folklore society; a society of bird watchers.",Exact,"The totality of social relationships among humans.
b. A group of humans broadly distinguished from other groups by mutual interests, participation in characteristic relationships, shared institutions, and a common culture.
c. The institutions and culture of a distinct self-perpetuating group.
2. An organization or association of persons engaged in a common profession, activity, or interest: a folklore society; a society of bird watchers.
3.
a. The rich, privileged, and fashionable social class.
b. The socially dominant members of a community.
4. Companionship; company: enjoys the society of friends and family members.
5. Biology A colony or community of organisms, usually of the same species: an insect society.",Lonely,"Without companions; lone.
b. Characterized by aloneness; solitary.
2. Unfrequented by people; desolate: a lonely crossroads.
3.
a. Dejected by the awareness of being alone. See Synonyms at alone.
b. Producing such dejection: the loneliest night of the week."
Lawn,a grassy growing development around ones house apartment or trailer,Maybe,provides the question of doubt could be a yes or could be a no,Society,a goup of people formed togeather with same and different views,Exact,percise. to the point,Lonely,a feeling of aloneness a feeling exhile
Lawn,"cultivated area of green grass, backyard, park, garden, green, grass, grass plot, plot, terrace, yard, acres, claim, field, garden, homestead, meadow, pasture",Maybe,"possibly, as it may be, conceivable, can be, could be, it could be, credible, imaginably, feasible, might be, obtainable, perchance, weather, permitting, certainly, surely, definitely, by chance, in some way, good willing, apparently, unlikely impossibly, likely to happen",Society,"humankind, people, association, civilization, commonality, community, camaraderie, commonwealth, friendship, general public, culture, humanity, population, social order, world, zoo, upper class of people, aristocracy, beautiful people, haut monde, jet set, main line, patriciate, smart set, upper crust, blue, lone, rural, underprivileged, ladylike, classless,",Exact,"accurate, precise, correct, dead on, explicit, definite, downright, express, faultless, literal, on the money, particular, right, rigorous, sharp, true, unerring, veracious, verbatim, approximate, inaccurate, indefinite, incorrect, inexact, demand, challenge, coerce, extort, force, oblige, shake down, wring",Lonely,"feeling, forlorn, friendless, abandoned, oneself, along, comfortless, desolate, companionless, destitute, down, estranged, forsaken, homeless, left, lone, outcast, rejected, renounced, single, unattended, unsocial, separate, apart, batching it, companionless, desolate, forsaken, hermit, isolated, lonesome, onliest, shag, solitary, solo, traveling, unaided, unattached, unescorted, widowed, together"
Lawn,"its a land, to earn money, its a symbol of royal",Maybe,"not sure, to happend",Society,"its a group of people, its an image of people",Exact,"its a current item, its current value , its means sure, conform, accurate",Lonely,"only one person, its nice feeling, more ppeople like this"
Lawn,it is smooth grass field,Maybe,something cannot be explained,Society,it is a demographically filled people,Exact,correct,Lonely,alone
Lawn,"Green grass, often surrounding someones home or a park, usually mowed and cared for often",Maybe,"Perhaps, possibly,",Society,"Community, a group of people with shared values, experiences, or belonging to the same group",Exact,"precise, ideal, perfect, particular",Lonely,"Alone, without peers, feeling of sadness or missing someone"
Lawn,"grassy field, full of flowers, maintained for cleanliness,",Maybe,"not sure, element of doubt is there, is uncertain,",Society,"group of people, community, companionship,mixing with others,",Exact,"precise,accurate, definite,A degree of refinement",Lonely,"alone, single, without companion, isolated,habbit of some people"
Lawn,grass grown infront of one's flat,Maybe,not sure,Society,public,Exact,accurate,Lonely,to be alone
