id_code,start_time,end_time,duration,airplane,surfboard,alert,annually,apple,ass,attempt,band,bean,carry,children,church,clam,clipper,construction,cook,cover,dagger,deodorant,dolphin,dress,dusk,east,egypt,expensive,explain,food,fox,gin,hello,hug,hurt,inhale,instrument,keep,marry,men,mustache,navy,near,number,once,rich,room,scare,scientist,short,shot,sly,smudge,stone,storm,tear,theory,thunder,trip,trophy,unfair,waiter,wet,world,worry
65023,10/24/10 21:13,10/24/10 21:25,12,fly,water,storms coming,every year,fruit,hairy,trying,musicians,refried,belongings,cute,God,seafood,basketball team,building,pans,pictures,shiny,smells good,mammal,clothing for girls,sunset,west,country,something nice,part of a question,essential,animal,juice,greeting,greeting,cry,air,music,promises,couples,muscular,facial hair,armed forces,far,one,only do something one time,lots of money,messy,haunted houses,researching,tall,guns,fox,chocolate,hard,bad weather,crying,belief,loud,vacation,gold medals,fair,job,rain,globe,scared
65662,10/24/10 22:57,10/24/10 23:09,12,"You fly in it, Its big, it is fast, They are expensive, they are at an airport, you have to be trained to fly it, there are lots of seats, they get very high up","It is used to surf, Its a hard long surface, Like a skateboard for water",fire,happens each year,fruit,poop,try,instruments,food,hold,fun,jesus,cold,cut,building,heat,get under something,sharp,smell,smart animal,girl,late,right,pyramids,money,to go in depth,taste,animal,alcohal,goodbye,warm,ouch,to breath in,Musical devise,to hold onto,love,strong,scruffy,water,close to,counting device,weight,money,sleep,holloween,smart,small,gun,sneeky,to smeer,rock,rain,to rip,idea,lightning,vacation,win,not right,food,slippery,round,paranoid
63859,10/24/10 22:58,10/24/10 23:08,10,"flying, big, loud","hard, is long",aware,year round,fruit,butt,to try,music,food,"hold, to move","short, annoying",jesus,food,cutting,build,food,not show,knife,"white, smelling",animal,girl,dawn,to the right,pyramids,money,describe,pizza,"red/orange, animal",alcohol,hi,kiss,painful,take in,sound,have,to sumit your love,strong,facial hair,blue,close by,how many,only one time,alot of money,place,frighten,experiments,lower to ground,gun,quick to think,smear,"hard, rock",raining,"rip, not together",thought,lightning,to go somewhere,award,not right,worker,damp,places,paranoid
64606,10/25/10 11:47,10/25/10 12:07,20,"large, in air, carries people, uses gas","long, in water, small fin , uses for fun","wake up, timing","year round, months, days","grown on trees, red, gree, yellow, worms, type of food","donkey, in movie shrek","a try at something, to work at, go hard","plays music, mostly guys, long hair stereotype","green, eat at grilling, brown","to hold, walk with, holding under or in your arm, carry on bag,","families, small, girls, boys, young","worship, singing, praising, God, coming together, the Bible","type of animal, found with pearl","los angeles, basketball team, cuts hair,","machines, men at work,","makes food, a job, works at restaurant,","to hide, pull over, type of protector","knife, kills, very sharp, shiny, metal","strip, white, prevents odor, comes in a stick","smartest animal, lives in water, mammal,not a fish","females wear, white, wedding dress, fancy,","at the night,sun going down","direction, west, north, south","in africa, very hot, pyramids","too much money, type of description, out of your budget","definition, more in detail, not understanding,","essential for live, fruits, grown everywhere, meat","lives outside, small, red, white, animal","alcohol, drink, mixer","greeting, friendly, person to person","kiss, love, emotion, passionate","painful, type of sensory, wound, bleeding","breathe in, uses lungs, co2","produces noise, used in bands,human must use to work","to hold, type of ownership,yours truly","two people, forever , wedding rings, white, male and female,","athletic, hard working, strong,","facial hair, brown, masculine, older men,","type of color, football, armed forces, battles on sea, tough men and woman, sacrafice","close to , not far away, descriptor","math, used everyday, 1-100, lucky,","one time thing, before twice,","wealthy, big house, lots of money,","square area, inside a hour or building, furniture, people stay in","frightened, halloween, scream, movies","makes things, smart, geeky","small, not tall, a type of person","drink at a bar, gun, could be dead if shot","keen, very sneaky, slow movements","a smear, a mark on clothing, description","rock, granite, caves","thunder, lighting, rain, scary, in clouds, natural disaster","water, runs down your face, crying , sorrow","a myth, scientist thinking","comes before lighting, during a storm, very loud","vacation, falling down, airplane or car ride,","winner, type of reward, athletics or competitions","pitty, mental thinking",works at restaurant,"water, slippery,","what we live on, water and land, holds people and animals","doubt, in fear of losing,"
64102,10/25/10 13:20,10/25/10 13:48,28,"has wings, has nose, flies, fast, holds people, need oil, large","smooth, flat, long, colorfull, used for surfing","weather alert, nosie, fear,","contunial, pay or interest,","fruit, clean teeth, can be green red and pink, grows on trees, can have worms","donkey, africa, eats grass, in zoos","work, try, usefull","marching, music, interment, play, rock music","food, mexican resutrants main food side, cooked, can be made into soups and chilli","hold, can be name, movie, action","little, off spring, loud, cute, humorous, play, innocent","cross, has preist, learn, God, pray, love, marrage, tradition, bibles, rows, friends","in ocean, made into soups, may have pearl","Cut, hair, sharp, used in babars shops, clean,","work, road, repair, build,","food, apron, book, fast food, resturant, home cook, personal cook, can be mom or dad","Book, closes, has pictures and words, tells about text, paper,","small knife, priates, medival, weapon,","gets ride of armpit smell and ichy, can cause rash and reddness,","fish, mamual, fin, eats fish, swims fast, jumps high, sea world, Ocean","to wear, cute or plain, for girls, and women, for all ocasions","sun going down, near darkness, when animails start to sleep, stories","deriction, on maps, helps find places, middle east, contry, east food,","contry, pryimds, pharohs, kings, cario, anne rice and the mummy, movies","how much moeny, price, ripe off","discrib word, voice to say, to solve","eat, engery, many ways to cook and perpare, good,","red sometimes white, cute, fast, hunters, clever",drink,"greeting, english term, freidly introduction","warm, a show of affection and friendship,","pain, anger, can be emotional",usefull,"Flute, music, vocal, used in plays and movies, a=sound","to have still, to not give away","Name, religous name, saint, Bloody Marry Tudor, medival,","guy boy, male, father and brother","face, hair, differnet colors, different sizes and shapes, cowboy, shave, cut, razer","Millitary, use ships, hard work, water sea, Pearl habour","far, tells someone where you are, dericetion,","used in math, universal system, roman,","how many times, used a lot in fairy tales","money, or friends and family, cocolate, a lot of something","sleep, bathroom, bedroom, bed, tv, can hold random stuff","Halloween, masks, coustumes, movies, scream, can be funny","smart, logical, experiments, researches, has help, can help save people,","size, hieght,","gun fire. weapon, injur, picture, carmera","trait, not much speaking, small voice","messy, uncear,","rock, large, smooth, is outside","weather, can be rain, harsh winds, can be dust storm, can be lighting storm, scared, deaths, distruction","wet, waht happend when cry, tear drop earing, clear, salty, sad,","bad, to help someone, someone to take to, money spent","storm, after lighting, loud,","road, travel, bring food, spend money, vacation time","shiney, honor, hard work, award, engraved names, for acheievments","not right, not equal,","Person, serves, job, wears uniform, friendly, tips, service, food,","water, not dry, ccan be from swimming","oval, water, earth, people, can be used for fanstay,","emotion, to be upset over something, to cause alert."
65833,10/25/10 14:03,10/25/10 14:19,16,"it is a machine, it is large, it flies in the air, it transports people from different places, tranportation, smells like coffee, crowded, cold, metal, used as a weapon, some people are frightened by them, they have wings, a pilot controls them, 9/11","they are long, fun, used in the ocean, California, made of wood, they allow you to ride on waves, they are for entertainment, contests","alarm, fire, awake","once a year, not very often, sale, shopping","crisp, fresh, clean",butt,tried,"big hats, loud music, high school, football games","brown, mushy consistancy, mexican food","books, weight, items","marriage, sports, fun, laughter","Sundays, family, food, faith, peace of mind","cold, water",cutting,"loud noises, vests, yellow hats, men","food, smells, family, my mom","blankets, messes","sharp, blood, pain","smells good, everyone should wear it","they are always happy, ocean, blue, they make squeaky noises, a nice animal","long or short, fun, colorful, summer, warm outside, cotton, silk, nit, laughter","purple, right before night, cool temperture, pretty sky","New York, cold, busy","pyraminds, gold, dark hair, paintings","money, nice cars, celebrities, diamonds, shoes,","in trouble to state what you were doing, going into detail","feels good, warmth, comfort","red, chasing",not good,"meeting someone new, seeing someone you know again, friendliness","friendliness, family, friends, warmth, smiles","pain, tripping, falling, injury","breathe in, yoga, relaxing","brass, long, music, loud, peaceful",forever yours,"love, forever, wedding, life time together","frustrating, hard to find","hispanics, big hairy men, on faces","Army, color, clothes",close,"phone, cell phone, boys","upon a time, it was a one time deal","happy, money, everything you want, celebrities","messy, relaxing, sleep","scary movies, hiding","smart, white lab coat, goggles, chemicals, experimenting","hair, people, kids,","pain, flu season, going back to school, sick",slick and smooth,"smear, paintings, pencils","cold, grey, houses","dark, rainy, thunder, yet peaceful to sleep","saddness or being happy, loss or fullfilment",an idea trying to be proven to be true,"dark, loud, being inside","family, pictures, fun and tiring","winner, first place, sports, talent",judgment,"food, drinks, restaurants","damp, swimming, summer, swim suit","big, diverse","stress, can't sleep"
63349,10/25/10 17:10,10/25/10 17:25,15,"white, fly, air, go some where, location","water, ocean, swim,","alarm, wake up, shock, think, critical","year, long time, holiday, seasons","computer, fruit, pear, banana","butt, donkey, jerk, hole, cuss","try, accomplish, give up","guitar, sing, drums, piano, songs, music","lima bean, burrito, soup, eat, food","hold, heavy, strong, mom, dad, help","babies, toddlers, fun. playful, crazy, cute","God, Jesus, cross, pastor, love, hope, worship","beach, sea, shell, sand, pearl","cut, toe nail, hair, scissors,","building, worker, brick, house, foundation","chef, food, restaurant, culinary","album cover, book, hard back","knife, kill, stab, murder","smell, underarm, BO, gross","swim, ocean. sea, salt water, sand, gray, smart, fish","girl, pretty, dance, special occasion","dark, sunset, night, evening, afternoon","west, north, south, direction, location, map","ancient, mummies, cleopatra, pyramids, desert","rich, money, price, jewelry, gold","answer, understand, help","yum, hunger, nutrition, fruits and vegetables","hound, fluffy tail, animal, red fur","alcohol, drunk, drink, brown bag, vodka","hi, howdy, hey, hola, aloha, telephone","kiss, XO, love, affection, cute","cut, pain, heart broken, emotions, sad, mad","air, consumption, smell, taste, sense","piano, drums, guitar, orchastra, band","save, hold on to, hide, pack rat","ring, wedding, pastor, bride, groom","women, males, boys, agressive, energetic,","facial hair, beard, rough, shave","war, fight, army, marines, air force","close, touch, proximity, location","1,2,3, count, measure, calculator","one time, first, only, never again","expensive, money, wealthy, items","shelter, dorm, house, bed room, bathroom, kitchen, walls","creepy, halloween, boo, ghost, witch","smart, experiment, tubes, lab","small, petite, height, tiny, little","gun, bullet, kill, murder, die","sneaky, cheat, liar, bad, evil","dirt, gross, ugly, clean","rock, marble, hard, heavy, solid","thunder, lightening, rain, down pour","rip, cut, pull, scissors, paper","experiment, thought, idea, hypothesis","lightening, rain, scare, loud, noise","location, airplane, bus, car, road trip","award, honor, win, achievement","life, cheat, liar, bad","server, hard worker, tips, restaurant","water, damp, uncomfortable","globe, country, location, map, land, sea","scared, future, worry wart, nervous"
65653,10/25/10 20:44,10/25/10 21:17,33,"can fly, is big, travel, vacation, pilots, passengers, luggage","is long, ocean, wet, california, coasts, ride","alarm, alive, detectors, smoke alarm, fire, loud","years, money, interest, rates, paid, salary, jobs","computer, i-pods, music, fruit, green, red, is yellow, soft","donkey, body-part, butt, mean, dumb","try, failure, gym, weights, success","garage, big, instruments, fun, rock music, concerts","plants, food, healthy, soup, stew, is green, is brown","hands, arms, back, gloves, moving, furniture","funny, youth, football, candy, family, annoying, babysitting, kids","religion, faith, commitment, God, Bible, baptist, catholic","hands, soft, gross, wet, food, weird","basketball, paper, news, information, binding, holding","workers, labor, outside, build, buildings, is orange","fork, knife, spatchula, oven, stove, microwave, food","music, protection, warmth, large, bed, sleeping","knife, hero, enemy, throwing, ninjas, pain, sharp","smell, brands, spray, arm-pit, hygiene","football, dan marino, ocean, florida, wet, loud, friendly","skirts, clothing, colorful, mornings, nice","night, sunset, cold, sky, colorful, is red, is yellow, is orange","direction, compass, sports, sun, moon","pyramid, bible, dust, sand, hot, dessert, lizards","money, is green, technology, inflation, market, business","present, comprehend, teachers, students, learning","is good, pleasure, pizza, meal plans, cafeteria, chew","animals, hairy, sly, fast, is red, is orange, is brown, wild","drunk, alcohol, drink, is  liquid,","introduction, welcome, communication, nice, restaurants","love, welcome, support, warm, comforting, compassionate","pain, sorrow, broken, injury, healing","smoking, inhaler, asthma, cars, smoke","guitar, noise, trumpet, bands, loud, practice, lessons, tabs","horde, stay, like, commitment , facebook, thumbs-up","bride, groom, wife, long-term, wedding, tux","football, hunting, fathers, nice, family, celebrities","face, power, father, black, beard, old, wise","military, training, sea, hard, ships, distance, blue","glasses, close, within reach, sighted,","lots, many, favorite number, jersey, football, hockey","chance, good, bad, lack, done, finished, over","money, is green, coins, power, happy, successful, leadership","space, is painted, bed, bath, is small, is big","movies, spooked, ghosts, monsters,","psychology, lab coats, beakers, is chemistry, fire, expirements","people, clothing, nike, brands, summer, hot, comfortable","guns, bars, shotgun, ammo, painful, doctors, fear","sneaky, video game, stealing, night, burglary, robbers","art, move, shift, dirty, marker, pencil, marker, crayons","rock, pebble, hard, band, music, throw","rain, wet, thunder, lightning, scary, exciting","sad, sorrow, rain, wet, eyes, ducts, contacts, pain","science, hypothesis, not true, proven,","storm, lightning, loud, scary, rain, outdoors, power","fall, shoes, shoelace, pain, sidewalk, embarrassing, vacation","football, sports, award, banquet, fun, achievement, accomplished","coin-toss, chance, school, tests, classes, stress","restaurant, man, job, tips, money, work, annoying","rain, swimming pool, cold, bath, shower, laundry","ethnicity, population, countries, people, continents, equator","stress, tests, college, friends, lifetime, bad"
65503,10/25/10 23:36,10/25/10 23:55,19,"long, large, several windows, several people on it, several workers","is flat, hard, slippery, long","awake, aware, sharp","every year, tradition, memories","green, red, yellow, sweet, sour","donkey, butt","to try, strive, effort","music, instruments, songs","food, cooked","hold, transfer","several, always learning, young","God, praise, faith","sea animal, food","cut hair, scissors","workers, loud noises, machines","food, smells good","put something over, hide, conceal","dangerous, rough, bloody, sharp","smells good, stops odor, fragrance","animal, mammal, fin, blow hole, gray, happy, swimmer","clothes, occasion, special occasion","time of day, early, dusk til dawn","direction, compass","sand, desert, pyramids, egyptians",costs a lot of money,"talk, reasons, decribe","tastes good, variety","animal, furry, hunted, hunter","alcohol, gin and tonic","greeting, talk, speak to others","caring, shared between all, feels good","pain, sad","oxygen, breathe","music, loud, orchestra","to have, hold on to, retain","love, husband, wife, church, invitations, wedding dress","strong, muscular, smell good","small, large, long, hair, men","color, armed forces","close to, by something","several, identity","number of times, one","A lot of money, wealth","large, small, space","emotion, scream, fear","smart, experiments, lab coat","size, heigh","of alcohol, bullets, gun","sneaky, unknown","smear, hit with hand","hard, cold, does not move","rain, water, thunder, lightning, loud, calming, puddles","rip, divide, separate",experiments,"loud, lightning, rain, scary, cold","destination, car, airplane, vacation, holiday","gold, large, plaque, name, sports, academics, shiny","wrong, unjust, no fair","man, woman, food, restaurant","soggy, cold, rain","large, several people on it, water, clouds, oxygen, lakes, houses, countries","anxiety, problems, stress, emotion"
65875,10/25/10 23:52,10/26/10 0:15,23,"is large, white, many windows.","is long, multiple colors, dirty from sand.",red,yearly,red,titties,effort,drums,black,heavy,playful joy,preaching,chowder,boy hair trimmers,hard hat,food,warmth,sharp,fresh,ocean,tulle,calmness,sea coast,pyramid,money,reasoning,warm,sneaky,juice,Aloha,comfort,pain,calming,guitar,memory,weddings,comfort,harry,deep blue,close,4,pay attention,mansion,carpet,haunted,white lab coat,unfulfilling,drunk,sauve,messy,grey,thunder,saddness,idea,loud,long journey,wife,useless,nice,water,globe,stress
