id_code,start_time,end_time,duration,zebra,house,fudge,girls,tree,string,splice,surgery,turtle,branch,emergency,amuse,schedule,patient,shoe,lost,strange,temple,dull,conference,sunset,doll,simple,puke,south,am,wound,tape,achieve,road,cave,ladder,find,tissue,ashtray,film,beast,meat,zero,ship,fragile,die,question,pancakes,vomit,sword,slip,syrup,bother,wimp,it,male,empty,tupperware,gloves,ax,small,cabbage,feet,quiet,search,rock
64018,9/20/10 20:03,9/20/10 20:29,26,"has stripes, black and white, animal, runs, zoo, has babies, africa, wild life","is big, tall, small, square, has windows, has furniture, rooms, decoration, yard, paint, garage, doors, kitchen, bathroom, basement, live in it, cook in it, play in it","chocolate, christmas candy","feminine, dramatic, shopping","branches, twigs, leafs, squirrels, fall",shoes,the movie,"difficult, doctor, life or death, long time, costly","creek, water, slow, scared","tree limb, brown","911, panic",funny,"school, weekly",calm,"laces, colorful, running, workout, brand name","misplaced, untraceable",weird,"religious, side of face","colorless, lifeless","meeting, many people, collaborating, conference title for sport, teams in your area/league","colorful, beautiful, beach","rag doll, children, baby doll","easy, short","vomit, sickness","compass, globe, countries, cold, confederate",who you are,"bleeding, scar, bandaid","duck, strong, fix things","award, success","straight, curvy, narrow, black with yellow stripes, dashed lines, drive on, cement","dark, big, echo, bats","climb, firefighter",search,"muscle, wrapping, Kleenex","cigarette ash, trash",movie,"strong, creature","animal, fat","number, worthless","ocean, big, sail, titanic",breakable,"casket, funeral, buried, death, illness, heart attack, weapon, tragedy, old age","answer,","round, flat, short stack, tall stack, toppings, syrup, breakfast","gross, puke, sickness","sharp, long, fighting","fall, slippery","sticky, brown, runny, warm, cold, pancakes, waffles, put on breakfast foods",relative,"scared, not brave, affraid","thing, the clown","masculine, egotistical, strong, brave",darkness,"extra food, packing food","warm, fingers, winter","sharp, tool","children, toys, objects, grapes","food, rolls","size, shoe, socks","silent, library","google, look","solid, big, bold"
63382,9/20/10 22:52,9/20/10 23:10,18,"white with black stripes, has 4 legs, has 2 ears, is an animal, has a mane, has a tail, has hooves, is an herbivore, lives in groups","has a roof, has walls, has a door, has internal rooms, contains appliances, provides shelter,",rich chocolate,"have hair, over thinks, can give birth,","has leaves, has branches, grows, gets very large","ties things, connects things",cut in two,"risky,","has a shell, is a reptile, is an herbivore","is off a tree, different segment,","something bad, blood, accident","make fun of, laugh",lists places to be at certain times,wait,"has strings, worn on the feet,",cannot be found,"out of the ordinary, different",place of worship,"not interesting, not sharp",meeting,"lowering of the sun, rising of the moon",child's toy,"not hard, easy",contains stomach acids,away from the north,morning,some sort of abrasion on the body,used to hang/ seal objects,accomplish,"asphalt, concrete, lines,","dark, bats live there, rock","has steps, used to get to high places",look for,sneezing,"used to hold ashes,",used to make pictures or motion pictures,"big animal, long teeth, hairy","food, carnivores, cannibals,","nothing,","large boat, can be used for cargo","very easily broken,","death, end of life,",asks for an answer,syrup,"cause by sickness, can be caused by alcohol,",metal blade,fall,pancakes,inconvienent,not strong,a thing,"contains sperm, muscular,","not full,","contains food, is made of plastic, used for storage","keep hands warm, protective covering","cuts wood,","tiny, fits in tight spaces",vegetable,"have toes, used to walk","no sound, peaceful",to look for intently,"hard, made of minerals,"
62671,9/21/10 11:04,9/21/10 11:25,21,"animal, four legs, stripes, black, white, has ears, lives in the wild,","different sizes, shapes, cost money, live in them","dessert, rich, sugar","soft skin, sweet voice, moody, breast, nice body,","green, bark, leaf, trunk, branches, weeping willow,","on shoe, ties in nots","to twist together, wires,","doctor, operating room, sterile, pain, scary","animal, hard shell, soup, slow,","rope swing, hang on, climb on","911, red cross, something unexpected and bad","to entertain, enjoy, laugh, smile","organized events, tasks to complete in a certain order","doctor, waiting room, calm person, reads a magazine","on foot, many sizes,","pet, object, cant find, misplaced","unfamiliar,","pray, religion","not sharp, lame personality","group of people, professional, projector, presentation","ocean, pm, evening, pretty","girl, barbie, dress up, has hair, sleep with","easy, complete effortlessly","sick, nauseaus, stinky, upset stomache","oppostie of north, part of directions","morning, sunrise, coffee, breakfast","blood, hurt, pain, doctor, stiches, band aide,","adheasive properties,","to excell, accomplish","drive on, bumpy, paved, traffic, map","dark, cold, wet, bats, rocks, mud, dirt, fun to explore","climb on,",something you were looking for,"blow nose, soft paper cloth, in a box","dirty, ashes, plastic, cigarettes","movie, negatives","hairy animal, agressive, mean","food, from animals, cook, taste good, add flavor, protein","neutral number, before 1","on water, sail, go fast, enjoy","break easily, handle with care, babies","funeral, casket, no more, worm food, flowers, sad",ask something,"syrup, circle, breakfast","sick, oatmeal chunks, stinky, drink too much, around toilet","sharp, long, handle, ninja","wet, stairs, slimey, funny to watch","brown, oozy, sugar, waffles, pancakes","to annoy, pester,","soft, scared person,","an object, something referred to or about, adams family","xy chromosone, penis, testicles, hairy, manly, deep voice, muscular, sports,","hollow, box with nothing in it, emotionless,","plastic, storage, leftover food, fridge","on hands, leather, pair","cut trees, long handle, sharp, swing it","tiny,","vegatable, soup, contains water","walk on, shoes, socks, different sizes","not loud, as a mouse, library, peaceful","to search for, word search, treasure map","hard, wierd shapes and sizes"
64279,9/21/10 15:42,9/21/10 16:04,22,"Mammal, Lives in Africa, Black and white, has stripes, has hooves, eats grass, runs on 4 legs, lives in the savannah, is an animal, has live young","is a structure, has rooms, has floors, has ceilings, has windows, made of wood and concrete, has doorways, has doors, used as a place to live","edible, made of chocolate and dairy, brown, hard or soft",Don't Know,"made of carbon dioxide, has leaves, has branches, has roots,","made of fiber, can be used to secure objects, can be used to make rope",Don't Know,"sterile, serious, important","Edible, green, large, sea turtle or land turtle, many species","made of wood, can be burned for heat",Don't Know,Don't Know,don't Know,Don't Know,"foot covering, made of fabric",Don't Know,Don't Know,"sanctuary, quiet,",Don't Know,"association of people, gathering",End of day light,"toy, made of plastic and fabric",Don't Know,Don't Know,Don't Know,Don't Know,Don't know,Don't Know,Don't Know,"made of concrete or asphalt, go in all directions","dark, damp, deep in ground, limestone, created by force of water","tall, has rungs, made of many materials, used to get to high places",Don't Know,"tears easily, made of fibers","sturdy, non combustible",camera film or film of filth,Don't Know,"edible, red or white, made of protein and fat, high in calorie",Don't Know,"made of wood or fiberglass, floats on water, has engine or sail, waterproof, can be used as living space",Don't Know,Don't Know,Don't Know,"edible, made of wheat, spongy","not edible, food particles","heavy, sharp, long, used to cut",Don't Know,"sticky, edible, tasty, many flavors",Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,"plastic, used to heat food, used to contain food","made of many materials, used to protect hands, have 5 finger spaces on each hand, come in many sizes","sharp, heavy, large",Don't Know,"green, edible, grown in garden,",unit of measure or body part,Don't Know,Don't Know,"made of minerals, come in a variety of sizes, can be used as a doorstop, hard, can be broken into pieces"
62359,9/21/10 19:40,9/21/10 20:12,32,"Striped, an animal, zoo, black and white",Home,"is good, is dark, is chocolate, sugary, sweet, warm,","are fashionable, has long hair,","is brown, is green, has leaves, turns different colors, blows in the wind, different kinds, animals home, is alive,","can be different colors, cut into the length you want, different kinds, no smell, can be thin, can be thick,","is soft, done to make friendship bracelets","knives, scrubs, doctors, blood, nurses,","is slow, is green, is cute, has a shell, lives in the ocean, lives on the land, is wrinkly,","on a tree, can be thin, can be thick, may have leaves on it","is danger,",Entertain someone,"for school, to manage time.","is sick, stays in the hospital, sounds tired,","worn on foot, has different sizes, has different colors, sold in pairs, can be tied, can be velcro, can be slip-ons","person doesn't know where they are, in a confused state,","is awkward, is weird, is unusual, foreign",to pray,"is boring, person is calm headed, person has no opinions","is a meeting, a round table, meeting with many people, executives","is pretty, is romantic","is pretty, children play with, play dress up with",Has very few features,"stinks, happens when you eat something bad","going down, south pole, hot,",is a chemical sign,"can be bloody, different sizes, painful, looks bad, could leave scars.","is sticky, used to hold things together, you rip it, comes in different brands/kinds",Goals,"is used to drive on, long, travel, is dark, has white stripes, has yellow stripes,","is dark, is scary","helix, used to climb, reach things, has many steps, can be extended,",searching,"soft, has a smell, doesn't have a smell,","used for cigarette ashes, smells bad","Something you watch, actors, actresses, money, popcorn,","An animal, smells bad","cows, pork, pigs, beef, steak, food, people eat it, carnivore, unhealthy",has no value,"is large, a boat, holds items, holds people, is on water, exports, imports, trades,","glass products, must be gentle with,","passed away, deceased","Unsure,","Is good, is round, is flat, eaten during breakfast, eaten with syrup and a fork and fruits, sold at iHop and Dennys","Stinks, happens when people are sick, food comes out,","medieval, knights, fighting, battle, war, kills, is bad, ninjas","you fall, water, puddle, banana","is sticky, has different flavors, eaten with pancakes, eaten with waffles, can be hot, can be room temperature.","is annoying, is exasperating","is weak, is quiet,",is an object.,"has short hair, is tall, is strong, wears pants,",Contains nothing,"stores food, has different sizes, has different brands, is washable, is dishwasher safe, comes in different sizes, comes in different colors, is disposable","used during winter, keeps hands warm, protects from hard surfaces,","is sharp, used to cut wood, used to break down items, firefighters have one,","is tiny, unseen","is food, is green, is a vegetable, is good for you, kimchi,","needed to walk, contain five toes","no sound, not talkative",looking for,"is hard, is near the lake, is grey, hurts,"
64897,9/21/10 21:39,9/21/10 22:09,30,"has stripes, black and white, in the wild, 4 legs, has a tail, built like a horse, gallops, prey, eats grass","has rooms, has bathrooms, has windows, has doors, a shelter, front and back yard, garage, made of different materials, furniture, most are near other houses","cake, chocolate","vaginas, boobs, estrogen, babies, longer hair, smaller","has branches, leaves, wood",used on many intruments to make sound,"cut, slice","needs medical attention, make you well","swims, slow, green","part of tree, has leaves","911, need help very soon",entertain,"school, busy, things you must do","emergency, something wrong","socks, feet",cant find there way,"scary, msyterious","church, pray, old","knife, boring","buisness, meeting","sun going down, not as bright","small, person or animal",easy,"vomit, throw up, sick",confederacy,"I, me, myself",hurt,"video, recording","victory, winner","cars, pavement, assfault","dark, wet, scary","roof, wooden or alluminum, climb","search, look for","paper, soft","smokeing, holds ashes","movies, actors, tv","creature, monster","tasty, cow, chicken, pig,","megaman x's sidekick, no value","moves on water, big","glass, handle with care","kill, murder, homicide","ask, interogate","syrup, fluffy","sick, poisoned","fighting, sharp","paper, small, message","pancakes, waffles","annoy, bug","nerd, glasses, high pants, gets beat up","thing, objects","strong, hunter","alone, missing something","dishware, holds food","covers hands, keeps hands warm",chops wood,tiny,"green, smelly, nasty","shoes, socks, five toes, ball, toenails","soft, piano","find, look for something","solid, hard, pointy"
62764,9/22/10 11:25,9/22/10 11:52,27,"is striped, is an animal, is a mamal, is black and white,",is made of bricks,"is tasty, is creamy, different kinds, delicious, mouth watering","opposiste of boys, have long hair and wear make-up, like pink","has branches and leaves, tall, creates oxygen","many different kinds, are on instruments, is what clothes are made out of, many different colors, textures, and thicknesses",slice,"careful, dangerous, hope for health, worrying, cut open, sew back together, blood, tissues, nasty insides","green, cute, small, shell, has tail and four feet, scared, slow","tree, has leaves, brown, hard","911, something urgent, need help fast, stay calm","fun, not boring, exciting","busy, lots to do, dont overlap","kind, not quick to overreact, good quality to have","goes on feet, buy new shoes at the store, has shoelaces","the show, don't know where i am, driving, need a map","odd, not normal, wierd","part of brain, somewhere people worship",boring,"meeting, event, get-together, lots of people","beautiful, orange, pink, yellow, red, purple, sunset over the water","cute, little girls play with them, small, mini clothes and bottles","not complex, easy, not much to it","gross, drank too much, sick, flu, do it in the toilet","opposite of north, hot in the south, a direction, soul food from the south","morning, opposite of pm, ""i am""","hurt, blood, scar, ouch, cut","sticky, clear, different kinds","achieve a goal, accomplishment","long and winedy, drive, car, stay in the lines, don't run off the road, pavement, black with yellow and white lines","natural, cold, dark, where mining took place, find treasures, hide in a cave","climb up it, careful not to fall off, dangerous, tall, medal or wood, different colors, to get to the roof",something lost,used to blow nose or wipe eyes,"nasty, cigarettes, ash, bars, dirty, smelly","video, makes pictures, see through","monster, strong, scary, large, hairy, massive","from animals, nasty when raw, people eat, animals eat raw","cero in spanish, 0, nothing, nada","large boat, old, sails across the ocean, floats (hopefully), pirates","be gentle, breakable","death, sad, mourn, go to heaven","?, answer, ask, unknown, no such thing as stupid","yummy, for breakfast, topped with syrup","puke, gross, when sick","sharp, pointy, knight, in museums, metal, fancy designs, heavy, dangerous","slimey, fall","sticky, sweet, delicious","""don't bother me"", bug, annoy, ""go away""","skronny, little, chicken, too scared, made fun of, poor kid","a word, a thing, used to describe something unknown","boy, has penis, opposite of female","gone, no more, missing","plastic, microwavable, leftovers are stored in here","used to protect hands, used to keep hands warm during winter","used to chop down trees, sharp, in the woods","tiny, little, not big","is a vegetable, is green, is grown in a garden, is eaten by rabbits, is crunchy, is similar to lettuce, contains a lot of water, takes sun to grow","smelly, weird looking, nasty, used for walking, have toes, connected to ankles","not loud, soft voice","look for, find it","hard, from the earth, heavy, don't throw at people"
62740,9/22/10 12:49,9/22/10 13:03,14,"stripes, black and white, hooves, black mane","door, windows, bathroom, bedroom, living room, office, dining room, kitchen, utility room",chocolate,"female, vagina","green leaves, brown trunk, changes colors in the fall",a piece of thread,"to separate something, comma splice",operation performed by a surgeon,"slow, has a shell",limb of a tree,an event that occurs suddenly and needs attending to,to entertain,keeps track of your tasks/activities,"doctor takes care of them, usually something wrong with them","wear on feet, wear with socks, can be sandals, boots, tennis shoes, etc.","don't know where you are, confused","different, extraordinary","area in your head, a sacred building",not sharp,something that people meet to discuss a common interest,"when the sun is going down, occurs at dusk","something a girl plays with, dress them up","easy, not hard","vomit, barf, throw up, usually do when sick","a cardinal direction, opposite of north",a verb that states what you are doing at in the present time,something that appears when you hurt yourself,"duct tape, scotch tape, used to repair rips in papers, hangs things up","to accomplish, goals","travel on it, gravel, asphalt, interstate","underground, cold, stalagmites, stalactites, bats live there","has rungs, used to climb",recover something that was lost or hidden,"can be in the body, can be used to blow your nose",where smokers put their ashes,movie,"an angry animal, monster","a food group, comes from animals",nothing,"boat, sails on the water","be careful, can be damaged easily",life ends,"want to know something, has an answer","breakfast food, ready mix, syrup, butter","throw up, puke, do when you are sick","weapon, has a pointed end","fall accidentally, something a woman wears under a dress/skirt","maple, put on pancakes or waffles",immediate male relative,someone who cannot stand a lot of pain or activity,subject pronoun for an object,"boy, penis","nothing inside,",kitchen container used to store food,"go on your hands, often used to keep warm",used to cut wood,minute in size,"vegetable, green","body parts, have 10 toes, wear shoes on them",not a lot of noise or sound,to look for,"stone, boulder, pebble, sedimentary, igneous, metamorphic"
62536,9/22/10 13:05,9/22/10 13:59,54,"an animal, resembles a small horse, striped","is a building, a place where people typically live","sweet flavored confectionary item, may be used as a topping",young human female,"vegetation with leaves, branches, a trunk, and bark","used to make cloth, used to tie pieces of material together",to connect two wires,"procedure where one physically corrects the imperfections of another organism, typically internally","reptile, hard shell which may be used to hide in","one of the military services, one bank which is not the center of the company, a limb of a tree",something which warrants immediate response,"to make someone happy, to make someone entertained",a way to keep track of important times and events,someone whom a doctor assists,"article of clothing worn on the foot, typically consists of a sole and a covering which encloses foot",without knowledge of the current condition of creature or item,"different, awkward",the area of the head located just above the ear before the forehead,without excitement,group of people viewing another or several others for the purposes of learning,the scene caused by the sun setting for the day,small cloth replica of a human being,"easy, with little effort","combination of food, drink, and bile which is expelled from the mouth of an organism","the direction opposite of north, area south of the mason dixon line",a term used to describe the current condition of an individual,an injury; to inflict an injury,"something which is recorded onto, used to seal packages",to do well in a given area,pathway which vehicles may use,area underground which can be entered without digging or boroughing,equipment with rungs used to move up by climbing,locate,"used during illness or allergies, used to wipe a nose",used to store waste from cigarette use,"a thin layer of a substance such as plastic, mold, or bacteria, a video","dangerous creature, may refer to actual animal/ person or imaginary creature","animal muscle, used for food",perfect equilibrium of all numbers from negative to positive infinity,sea born vessel,easily broken,to end life,a way to receive information,"a breakfast food, contain carbohydrates","combination of food, drink, and bile which is expelled from the mouth of an organism",oversized knife used for fighting,an article of clothing worn as under a dress,sweet item used to top food items,male relative of same generation in immediate family,a person without strength,anything person place or thing which a name is not known for or has already been referred to,organism which contains only testes,with no substance inside a container,brand of container used to seal food,"articles of clothing worn on the hands, to protect from dangers in environment including cold, harmful substances, or physical dangers","weapon, used to cut trees","opposite of large, without substantial size","similar to lettuce, edible","appendages connected to legs, length of measurement",without sound,to look for,large piece of solid earth
63100,9/22/10 16:16,9/22/10 17:12,56,is an animal,"man-made, where a family can reside, has a kitchen, living room, bathrooms. can be made of brick, cement, wood.","is a dessert or candy, chocolate, made from cocoa beans with some added ingredients, very delicious but depends on the person","are young, before they hit young womenhood or womenhood","is a plant, converts carbon dioxide into oxygen uses photosynthesis, been here longer than man",made of tons of smaller pieces of thread used in sowing or mending materials or to make jewerly,"split, divide something",operation needed to either repair or take out something to hopefully improve health,"is an animal, lives in a protective outer covering called a shell","is part of a tree, thin and farthest away from the trunk of the tree",event that needs immediate attention,"is a emotion, something is humorous, or interesting","used to keep track of where one has to be, helps some to know what day it is",is a quality that a most don't possess being able to wait and staying calm,something used to protect feet,something that you cannot find or you have missplaced,"unusual, out of the ordinary","sacred place, the Lord's house",word to describe something that is boring and not exciting easy to forget,"meeting so that people can get together to discuss ideas, theories or to make sure everyone is on the same page","is apart of nature, the earth rotates around the sun, when we experience sunsets the other half of the world is experiencing sun rises, it's a time when it gets dark and people go to sleep to get ready for the day to come","an object to play with, miniature person made out of various materials depending on where and when","is a concept, opposite of complex, easy",is a bodily function that occurs when the person is sick or has digested something that the body rejected,"cardinal direction along with north, east and west, opposite of north","word, usually leading up to describing someone generally themselves","cut of the skin results in bleeding, can become infected if not taken care of",can be either a video to watch or something used to patch up like duck tape,"is a concept, having a goal and being successful making that goal","is a means to getting around the land quicker, made of cement, used to be dirt, Romans used them",a hole surounded by rock and where all manner of nocturnal animals reside,is man made and used to reach places or things that are beyond our natural reach,spotted something or stumbled upon.,"makes up the organs in the body, can also be a material used in blowing one's nose",used to store cigarette butts after someone is through,"motion pictures, entertainment for most people that have movie theaters or players at home","generally is a animal, sometimes used to describe mean people, lives in the wild",food for carnivores and omnivores. provides energy,"is a number, beginning of the positive numbers","man made, a way to travel across the water mainly the sea probably",is a concept meaning that an object is breakable,is enevitable,is a inquiry about a certain topic,"is food, generally for breakfast but can be consumed anytime of the day, used to gain energy","acid that is convulsed out of the stomach, way the stomach rejects something","used as a weapon before guns, medival times",is when someone loses their footing maybe on some unknown liquid or solid,"what is put on pancakes, sugary and sweet",something is that irritating or a nuisance,"term used to describe someone who is not daring, used in name-calling and sometimes bullying","general term, substitutes for he, she,","can be animal or human, opposite of females, generally protective, some become alpha in their territory.","opposite of full, nothing","is man-made, used to store excess food so that it will keep fresh","is a object used for protection of your hands, can be made of leather, cotton, animal skins.",tool used in war and to cut objects such as trees,"a size, description of something","is a veggie, green, put in gardens to be harvested and eaten","is part of the human and animal anatomy, used to walk places and helps maintain balance","absences of disturbing noise, can be peaceful",act of looking for someone or something,"is a nonliving object in nature, hard, comes in many colors depending where you are. can be smooth or rough and can be made of different materials"
