Actress,"seen on tv, voice is heard, genre, theme, loud, red carpet, famous, outgoing, energetic"
Actress,"talented, beautiful, acting, rich, spoiled, stuck up, funny, "
Actress,"stars in movies and/or tv shows, beautiful, famous, in magazines, on tv, in theatres, looked up to, wealthy."
Actress,"pretty, famous, in movies, can be great or not, movies"
Actress,"is pretty, is sexy, Julia Roberts,Alicia Christian Foster,Jennifer Aniston, Eva Longoria,Teri Hatcher, Ren¨¦e Zellweger,Paris Hilton ,Nicole Kidman,Meryl Streep,Meg Ryan,Lindsay Lohan"
Actress,"acts as a living, dramatic person, rich and famous (when good), works on television shows, movies, commercials, on stage, "
Actress,"movie star, halle berry, Jennifer Lopez, Hollywood, Movies, ""Lion King"", voice-overs, animations, Angelina Jolie, Beyonce, Jennifer Hudson, Jessica Alba, ""Baskeyball Wives"", rehearsed, performed"
Actress,"Woman, acts in a play or musical, tells a story through words and body language. "
Actress,"is famous, is a woman, is wealthy, is talented, is recorded, is known by many, is on television, is in films, is confident, is hard-working, is ambitious, is determined"
Actress,"actor, woman, someone who acts on stage, in plays, movies, TV, professional, paid to be or act a different way or like someone else"
Actress,"a woman, a performer, can pretend to be a written or made up character, "
Actress,is very attractive
Actress,womanfemalemovies
Actress,femalewomanmoviestv
Actress,"is beatiful, fashion. "
Actress,"Is a female that can asume a role or act to be something they are not. Someone who is a great actress can show believable emotions on cammand such as frear, joy, and sadness. Many actress' choose to perform on stage in plays or in theatreical praductions while others choose to show their skills on the big screen and would prefer to act in movies. "
Actress,"theatre, pretty, tall, composed, put together, inteligent, needy, rich, elegant"
Actress," female actor, a job, seen in movies, comercials, television; "
Actress,act to get money
Actress,"is beautiful women, is tall, is good at to say lie, have cosmetic surgery, have gossip."
Actress,"pretty, tall, nice and skinny, has a long hair"
Actress,"attractive, curvy, skilled, memorization, acting, movies, shows, theater, kissing,"
Actress,"woman, hollywood, tv screen, in the spot light, millionaire "
Actress,"conceited, talented hopefully, rich, well known, confident, famous, can be funny, can be a philanthropist, has to memorize scripts, need to grateful"
Actress,A female actor.
Actress,A gorgeuos girl. Stereotypical hollywood woman
Actress,"is a person, is a profession, requires a degree, is a hobby, is a talent, is dramatic, stars in TV shows and movies and plays "
