"spelling.errors","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"unconstraint","unconstrained","constraint","constrained","inconstant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uninhibitedness","uninhibited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unrestraint","unrestrained","restraint","restrained","untrained",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uncarednoticed","uncomplicated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandonto","abandon to","abandon-to","abandonment","abandon","contraband",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"venter","center","enter","veneer","renter","vented","v enter","vent er","vent-er","venerate","fervent","reverent","intervene",NA,NA,NA
"dognap","dog nap","dog-nap","dognapper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adduct","addict","adduce","abduct","ad duct","ad-duct","duct",NA,NA,NA,NA,NA,NA,NA,NA,NA
"acetabulum","incunabulum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"powerfulness","powerlessness","wonderfulness","purposefulness","sorrowfulness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"powera","powers","power","pow era","pow-era","power a","PowerPC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"strenght","strength","straighten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"beaptitude","beatitude","be aptitude","be-aptitude","aptitude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"knowhow","know how","know-how","known","know","nohow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fuction","fiction","function","suction","faction","auction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abilitypower","ability power","ability-power","portability","potability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ableness","lovableness","likableness","nobleness","feebleness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"skillenergy","skill energy","skill-energy","skillfulness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brian","brain","bairn","Brian","bran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abby","baby","Abby","abbey","tabby","cabby","gabby","abbe","abbr","ably","ab by","ab-by",NA,NA,NA,NA
"thats","thatch","that","tats","hats","that's","teats","chats","ghats","thaws","twats","whats","Ghats",NA,NA,NA
"avant","savant","avaunt","avast","av ant","av-ant","vacant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"garde","grade","garden","regard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nonmaterial","non material","non-material","materialization","immaterial","material","matrimonial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"doesnt","doesn't","doeskin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unrational","irrational","rational","foundational","supranational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plentitude","plenitude","platitude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"prosperousness","obstreperousness","prosperous","ponderousness","onerousness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"everpresent","ever present","ever-present","presenter","representative","represent","presentment",NA,NA,NA,NA,NA,NA,NA,NA,NA
"underuse","underused","under use","under-use","underbrush","undersea","undersexed","underside",NA,NA,NA,NA,NA,NA,NA,NA
"cowardous","cowards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mentalpsychological","mental psychological","mental-psychological","phenomenological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dependance","dependence","dependency","ascendance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"certian","certain","anticancer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"relatiodhip","relationship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"corpral","corral","corporal","corporeal","corpora","coral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"crulity","crudity","credulity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"malnourishment","malnourished","undernourishment","nourishment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"usingtreating","using treating","using-treating","entreating","frustrating","nauseating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"someonesomething","someone something","someone-something","somersetting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accelerometer","accelerator","accelerate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finishedwell","finished well","finished-well","finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
