id_code,start_time,end_time,duration,level,garlic,accuse,bike,bite,bleach,blow,cans,cough,country,crack,dance,dinner,earth,floor,fly,fog,fold,freedom,fruit,good,hammer,hate,hear,hotel,immature,itch,journey,later,law,learn,leaves,liar,look,make,mold,motion,movement,necklace,octopus,old,party,patience,personality,plane,poker,pot,present,rare,referee,refrigerator,rent,shake,slide,spread,state,station,tell,thing,virgin,volcano,write
64480,11/15/10 13:27,11/15/10 13:49,22,"even, all are equal, above, a positive thing, an advancement","tangy, used for cooking, smelly, and is known for making people cry, a vegetable","to tell someone they did something, to assume",another way of transportaion that requires body movement,the act of taking your teeth and putting downward pressure,a cleaning equipment used to disinfect,to exhale air out of your mouth,an object used to hold liquids,the act of getting something that's in your throat out,where mass amounts of people live,"a split in something, often causes problems",an acitivity that requires full body movement,"a meal served at night, meant for people to be able to talk about their days.","the main componet of life, complex, peaceful, and wonderful","hard ground, stable, wood, is always needed, and is helpful","deals with birds, also airplanes, is in the air","it is hard to see in, makes driving difficult, is brought on from rain, annoying",to make a crease in something,to be able to have the right to do what you want,"a type of food that is good in nutrional value, water",doing things that are moral and understanding,an object used to help put things in other objects,"another emtion that is the opposite of love, disgusts","to listen, communication being people",where people stay when their away or not at home,"to have the mindset of someone young, when you are in fact old","a senstation on the skin that animals feel, annoying usually","a adventure somewhere with a mission, sight-seeing, exploring","not now, farther away",a rule that everyone has to abide by,to be able to understand knowledge and grasp the idea,"things that fall off the trees in the fall, and bloom in the spring",someone that doesn't tell the truth,"to see and respond, to observe",to take things and make something bigger,a substance that comes from the laying of water,how something is moving with gravity,to go from one spot to another,something that goes around someone's neck for eye pleasure,"an animal that lives in the sea, has tentacles, often is mysterious, often scary",something that is not young,where people go to socialize and have fun,to be able to wait for something and not be anxious,"how someone is in life, how they react to certain situations and etc.",a transportation object that helps people get places and fly,a game that is played with a deck of cards,something that people cook food in,"in the now, what's happening today and not tomorrow",something that doesn't happen a lot,"makes judgements, should be fair, and should always be equal",a place where you keep your food,an option for housing payments,a motion used between two people,a motion that happens when something is slick,to take one thing and put it all over something else,"where people live, they each have their own unique boundaries and things to do, also different climates",where a certain group of people go to converse,to communicate to someone with words,any object in life,something that has never had sex before,"hot lava, known to kill, amazing to watch, destructive","expressing one's self in words, being open, being yourself."
63730,11/15/10 13:55,11/15/10 14:00,5,video games,used in foods,them,trail,me,clothes,balloon,food,drops,United States,open,the night away,supper,world,tile,away,morning,over,rings,strawberry,bad,nails,school,voices,stay,boys,bite,long,on,and order,more,fall,compulsive,down,dinner,bread,less,trail,friendship,ocean,fashion,tonight,virtue,disorder,fly,face,stove,past,form,sports,cold,due,hands,into,disease,missouri,train,them,homework,girl,errupt,paper
66433,11/15/10 21:03,11/15/10 21:12,9,games,cooking,liar,wheel,hard,blonde,pop,of soup,cold,USA,butt,athlete,starving,sun,rug,airplane,clouds,cards,USA,grape,great,nails,is a strong word,noise,vacation,children,scratch,don't stop believin,now,and order,school,fall,liar liar,eyes,cookies,gross,sensor,dance,tiffany's,tentacles,saggy,birthday,time,bubbly,travel,cards,mary jane,past,meat,soccer,cold,apartment,steak,playground,jelly,Missouri,train,secret,1 & 2,mary,erupt,stories
66421,11/15/10 23:53,11/16/10 0:14,21,"tool, straight, guide","smell, taste, odor, used in cooking, ingredient, cloves, Italian","blame, angry","two wheels, fast, seat, brake","bug, spider, dog","odor, white, laundry","sigh, loud, quiet","aluminum, pop, metal","cold, sneeze, ache, sick","Mexico, Canada, England","opening, wide, narrow","movement, ballet, modern, exercise, jazz","supper, food, nourishment","round, oceans, land","carpet, hardwood, tile","bird, plane, jet, sky","gray, thick, overcast","crease, bend","free, liberty","apple, orange, pear, cherry","opposite of bad, nice, fine","nail, tool, hit","loathe, dislike, disgust","ear, sound, noise","rooms, room service, beds, vacation","young, children","bite, scratch, poison ivy","long, epic, vacation","after, next, in the future","rules, guidelines, lawyer, follow, punishment if broken","school, teacher, books","tree, fall, turn red and yellow","bad, can't trust","glance, eye, glare","create, invision, destroy","green, black, growth","movement, jump, leap","motion, dance, hop","jewlry, diamond, pearl","eight legs, sea creature","not young or new, aged","music, crowd, dance, food","virtue, quality, wearing thin","shy, outgoing, introvert, extravert","large, fly, noisy","game, bet, win, lose","cooking untinsil, found in kitchen, cook food in","gift, give, birthday","unique, artifact, find","game, whistle, flag","freezer, cold, food storage","apartment, house, money","rattle, move, roll","playground, children, fun","disperse, move around, wipe","Missouri, Kansas, Texas","fire, police, ranger","share, say, inform","object, it",Mary,"lava, erupt, rock, chaos","paper, pen, scribe"
66439,11/16/10 16:07,11/16/10 16:53,46,"it can gradually increase, it can gradually decrease, it can mark progress, it can take time to get to the next level, it can take not much time to get to the next level","it has a specific aroma, it can be used for cooking, it can be used to ward off vampires, it can be healthy for you","guilty, wrong, law and order, police, hearsay","exercize, red,","mosquito, animal, rabies, food, chocolate, yummy","clothes, white,","cocaine, punch, wind","aluminum, plastic, drinks, silver","bad, itchy, elbow, hands, handkerchief","music, accents, twang, rope, horses, cowboy boots","cocaine, bad, butt, plumbers, drug addicts, dry skin","ballet, ball, jazz, African, Asian, money, beautiful, graceful, hip-hop,","barbecue, family, chocolate, conversation, cookies","dirt, grass, ocean, mud baths, carbon, clay masks, oxygen","cold, wood, carpet","wings, gross, dirty, malaria, disease, freedom","blurry, thick, scary, accident, heavy","laundry, clothes, neat, unwrinkled, order","blacks, collage students, no parents,","healthy, yummy, cantaloupe, watermelon, grapes","positive, grades, A, virgin, straight edge","is used to pound things, metal, heavy, wood","anger, self conflict, aggressiveness, yelling","sound, ears, voice","comfort, clean, nice, relaxing","boys, anyone can be, young, laughs at everything","dry, cracked, unhealthy, cough, rashes, allergies","car, friends, music, gas, drinks, food, camera","procrastination, not now, nightime","books, studying, money, suits, politics","school, education, memory, intelligence, tests, quizzes","crunchy, green, fall, big, small, pain, pretty","sketchy, not truthful, boys, politicians","eyes, sight, glasses","creation, materials, crafty","green, bad, unhealthy, can be grown","science, newton, blow","velocity, running, legs, arms, body, heart","expensive, cheap, cute, a present, beautiful","eight, big, small, ink, cartoons, sea world","sad, wrinkles, short, gray, friendly, cute","red cups, fun, pictures, happy, drinks, food,","controlled temperature, calm, relax,","funny, angry, nice, mean, silly, serious","safety, wings, doors , high altitude, passengers","cards, lying, money, chips, deceit","cooking, green, boiling, healthy, temperature, drugs","wrapping paper, ribbons, colorful","animal, food, purse, name","soccer, volleyball, basketball, football","cold, food, frozen, yummy, plastic, metal, sterling silver, wood","apartment, house, condo, expensive, transvestites","milk, whipped cream, cherries, ice cream, chocolate, strawberry, vanilla","red, purple, McDonald's, children, fun, laughter","bread, cheese, spinach and artichoke, butter, jam, fruit, meat","mind, depression, fifty, speak, different","gas, candy, magazines, restroom","girls, gossip,","object, dr. seus, monster, existence","is a good person, is usually a girl, is rare among collage age kids, is pure","hot, red, lava, crust","paper, pens, novels, books, author, harry potter"
63862,11/16/10 16:31,11/16/10 16:40,9,used in video games,is white and oval-shaped,Girls,Two wheels,Baby,Laundry,Bubbles,Soup,Sickness,Map,Drugs,Irish Dance,Date,Green,Hardwood,Kite,Thick,Laundry,Freedom Writers,many different colors and shapes,Food,Nails and Wood,Homework,Music,Marriot,Boys,Mosquito Bite,The band,Midnight,Court,School,Fall,"The Movie Liar, Liar",Window,Cookies,Old House,Body-in-Motion,Exercise,Pearls,Sea,Grandparents,Drinking,My dad,Type A or B,Closterphobic,Boys Night Out,Cooking,Christmas,Diamonds,Hockey,Small Cubicle in my room,House,Steak-n-Shake,Powerpoint,Spread Eagle,Missouri,Train Station,Secrets,Dr. Seuss,Madonna,Hawaii,Letter
62713,11/16/10 16:55,11/16/10 17:19,24,"straight, balanced, metal, long","strong smell, strong taste, white color","to blame, to find fault","has two wheels, has gears, has handles, has pedals","uses teeth, do it when eating, dogs do it to people","cleans things, can ruin clothes","exhale, do it to candles, uses air","hold food, lots of them at a store, are metal, have labels","can hurt, happens when you have a cold","has borders, is a portion of land, has a capital city","is a flaw, can get worse","done to music, takes talent, has to be learned","set at a table, uses plates/forks/knives/glasses, has food","mostly water, 3rd planet from sun, has one moon","solid, flat, has carpet/tile/wood","is small, is black, has wings, has six legs, is annoying","is thick, hard to see through, usually in morning or evening","leaves a crease, reduces size, organized neat","something everyone wants, not everyone has it","sweet, bright colored, juicy, has seeds","opposite of bad, is positive, is relative","used to drive nails, carpenter's have them","causes conflict, is negative","use ears, to listen","has beds, has lamps, has television, has phone","more common in younger people, generally grown out of",need to scratch,"a trip, is long, takes time","not now, in the future, not a definite time","keeps order, needs to be obeyed, commonly resented","done at school, increases knowledge","turn colors in fall, fall of trees, have to be cleaned up","not trustworthy, not truthful",uses eyes,"to create, to build, to put together",used to shape something,object while moving,used to get from place to place,"goes around neck, most commonly metal chain, has jewels or charms","has eight legs, is squishy, lives in ocean, inks","broken down, out of date","has music, usually has alcohol","is a virtue, is not common",what makes a person unique,"can fly, has wings, has wheels, has engines","uses cards, uses chips, sometimes uses green felt table","used to cook in, can boil water in, can hold things","given on birthdays and Christmas, are wrapped","uncommon, not east to find, valuable","wears stripes, has a whistle, carries flags, regulates sports","tall, white, cold, put food inside, has lights, has handles","costs money, usually for living quarters, usually too high","to rattle, to move alot","is on a playground, is usually tall, is usually metal",what you do with butter,"part of a country, has own rules sometimes","where trains stop, lots of people",to communicate something to another person,used to refer to an object,hasn't had sex,"is tall, is hot, smokes, erupts","use pen/pencil and paper, put ideas down"
63424,11/16/10 19:02,11/16/10 19:26,24,"leveling tool, metal, air bubbles, level on computer game, floor on a building","food, strong smell, round, cloves, butter","blame, guilty, fault","ride, wheels, handle bars","eat, chew, food","blonde, clean, burn","job, three little pigs, up","beer, food, metal","syrup, medicine, mucus","england, USA, china","cocaine, butt, slit","sway, move, break","food, eat, time","round, the world, dirt","dance, carpet, boards","away, plane, wings","lack of vision,","paper, cards, poker","do as you wish,","apple, pear, orange","nice, helpful, tasty","MC, tool, jack","dislike, fight,","ear, loud, quiet","building, floors, pool","young, silly, child","rash, annoying, scratch","dont stop believing, band, train","tonight, after, sleep","police, obide, rules","school, knowledge, learning methods","tree, autumn, green","jim carey, dishonest, decieptful","see, eyes, distinguish","create, force, invent","dirty, gangreen, infection","loco, train, move","run, walk, dance","gold, silver, present","8, sea, tenticles","OAP, wheelchair, baking","drinks, dance, fun","virtue, wait, time","ego, nice, acting","air, wiz khalifa, wings","cards, face, money","drugs, flower, clay","christmas, birthday, wrapping paper","uncommon, steak, hard to find","black and white, whistle, sport","storage, food, cool","dead money, home, car","steak, milk, wiggle","water, fun, play area","butter, knife, table","USA, new york, mess","train, bus, people","inform, show, story","something, object, unrecognised","airline, richard branson, purity","erupt, lava, pompei","paper, pen, story"
65599,11/17/10 0:27,11/17/10 0:31,4,"buildings, games","spice, food",lies,wheels,mosquito,laundry,jobs,trash,sickness,music,floor,studio,stead,world,tile,bug,night,towels,college,juice,heaven,tool,friends,ears,dirt,"boys, kayla, katia, sam, alex, scott, morgan,",rash,pilgrimage,tomorrow,book,education,fall,judge,eyes,food,bread,lights,sports,jewelery,ocean,people,condoms,virtue,trait,air ports,face,drug,christmas,meat,soccer,food,house,ice cream,pool,butter,missouri,gas,secrets,toys,white,lava,letter
65395,11/17/10 12:15,11/17/10 12:44,29,"used in construction, long, three holes, three things with yellow liquid to tell if it is level","strong smell, white, round, tiny, outer skin",never heard of this word,"two wheels, handlebars, seat, fast, breaks, pedals","food, chew, eat, ate, meat, teeth","laundry, white clothes, get stains out, disinfect","wind, mouth, storming, rain, hair messes up","food, soda, donation, recycle, throw away","cold, sick, sore throat,","gravel roads, tractors, hay, trucks, ponds, cows, chickens, pigs, farms, farmers","broken, throw, glass, sidewalk","slow dance, dancing fast, music, people movng around","supper, food, dessert, dishes, silverware","planets, sun, moon, life, land, water","carpet, wooden, tile, clean, sweep, mop, dirty","travel, airplane, helicoptor","cold, usually in mornings, hard to see, kind of scary","laundry, lay in half, clothes, paper","peace, 1st amendment, consitution, liberty","healthy, strawberries, pineapple, apples, bananas, oranges","better, best, great, awesome","handle wooden, top round, side with fork like things to pull out nails, heavy","dislike, hatred, disgust,","listen, ear, talk, comprehend, learn, audio","motel, holiday inn, swimming pool, contential breakfast, room service","young, not independent, selfish, brat","sratch, bug bite, tickles,sore, chicken poxs","travel, experience, airplane, bus, taxi, car, camera, money, hotels","after while, sometime, busy, i will get to it","obey, police, judge, court house, jail, attroney","education, school, going to classes, degree, major, college","trees, fall, change color, rack them up, burn them, play in them","lie, person who does not tell the truth","see, watch, hear, observe, spectulate","food, projects, crafts","bacteria, grows on bread, anything damp, black looking, dangerous","move, look, run, walk","move, walk, run, switch position","jewerly, diamonds, expensive, elegany","big, round, eight arms, lives in ocean, dangerous","antique, ancient, brought dow from generations, fragile","music, food, drinking, dancing, having a good time, loud, hot","time, wait, calm, impatience, not in a hurry","they way people act, selfish, shy, outgoing, loves to have fun","travel, fly, helicoptor","cards, card games, money, bets, people involved, food, drinks","pan, cook, food, stove, oven","gift, multiple gifts, christmas, birhtdays, give, share","not known, very few, extinction","sports, basketball, football, softball, baseball, help regulate game, calls fouls","cold, frozen, food, drinks, temperature","house, apartment, available space, monthly payment","food, something to drink, milk, fruit, ice cream, smooth and creamy","playground, children,, fun, games,","butter, bread, peanut butter, sandwiches","Missouri, Kansas, Arkansas, Hawaii, Flordia, Mississippi","subway, transportation, police station","say, said, story, about","object, something,","never had sex, virgin mary, saving self til right time or marriage","erupts, dangerous, mount st helen, hot, lava, red, burn","pen, paper, desk, pencil, school, notebook, classes"
